Title,Date Released,Budget,IMDB Rating,Runtime
Bridge of spies,10/16/2015,40000000,7.7,142
Jurassic World,6/12/2015,150000000,7.1,124
The Hundred-Foot Journey,8/8/2014,22000000,7.3,122
Transformers: Age of Extinction,6/27/2014,210000000,5.7,165
Lincoln,11/16/2012,65000000,7.4,150
Men in Black 3,5/25/2012,225000000,6.8,106
War Horse,12/25/2011,66000000,7.2,146
The Adventures of Tintin,12/21/2011,130000000,7.4,107
Real Steel,10/7/2011,110000000,7.1,127
Cowboys & Aliens,7/29/2011,163000000,6,119
Transformers: Dark of the Moon,6/29/2011,195000000,6.3,154
Super 8,6/10/2011,50000000,7.1,112
True Grit,12/22/2010,38000000,7.7,110
Hereafter,10/22/2010,50000000,6.5,129
The Lovely Bones,1/15/2010,65000000,6.7,135
Transformers: Revenge of the Fallen,6/24/2009,200000000,6,150
Eagle Eye,9/26/2008,80000000,6.6,118
Transformers,7/3/2007,150000000,7.1,144
Letter from Iwo Jima,2/2/2007,19000000,7.9,141
Flags of Our Fathers,10/20/2006,53000000,7.1,135
Monster House,7/21/2006,75000000,6.6,91
Munich,1/6/2006,70000000,7.6,164
Memoirs of a Geisha,12/23/2005,85000000,7.3,145
The Legend of Zorro,10/28/2005,75000000,5.9,129
The Terminal,6/18/2004,60000000,7.3,128
Catch Me If You Can,12/25/2002,52000000,8,141
Men in Black II,7/3/2002,140000000,6.1,88
Jurassic Park III,7/18/2001,93000000,5.9,92
A.I. Artificial Intelligence,6/29/2001,100000000,7.1,146
Shrek,5/18/2001,60000000,7.9,90
The Haunting,7/23/1999,80000000,4.9,113
Saving Private Ryan,7/24/1998,70000000,8.6,169
The Mask of Zorro,7/17/1998,65000000,6.7,136
Deep Impact,5/8/1998,75000000,6.1,120
Amistad,12/25/1997,36000000,7.2,155
Men in Black,7/2/1997,90000000,7.3,98
Twister,5/10/1996,92000000,6.3,113
Casper,5/26/1995,50000000,6,100
The Flinstones,5/27/1994,45000000,4.8,91
Schindler's List,2/4/1994,22000000,8.9,195
Cape Fear,11/15/1991,35000000,7.3,128
Arachnophobia,7/18/1990,31000000,6.3,103
Gremlins 2: The New Batch,6/15/1990,50000000,6.3,106
Back to the Future Part III,5/25/1990,40000000,7.4,118
Dreams,8/24/1990,12000000,7.8,119
Joe Versus the Volcano,5/9/1990,25000000,5.7,102
Always,12/22/1989,31000000,6.4,122
Back to the Fututre Part II,11/22/1989,40000000,7.8,108
Dad,11/10/1989,19000000,6.1,117
The Land Before Time,11/18/1988,12300000,7.3,69
Who Framed Roger Rabit,6/22/1988,70000000,7.7,104
Empire of the Sun,12/25/1987,35000000,7.8,153
Three O'Clock High,10/9/1987,6000000,7.1,101
The Money Pit,3/26/1986,10000000,6.3,91
The Color Purple,2/7/1986,15000000,7.8,154
Young Sherlock Holmes,12/4/1985,18000000,6.8,109
Back to the Future,7/3/1985,19000000,8.5,114
The Gooniess,6/7/1985,19000000,7.8,116
Gremlins,6/8/1984,11000000,7.2,106
Twighlight Zone: The Movie,6/24/1983,10000000,6.5,101
Poltergeist,6/4/1982,10700000,7.4,114
E.T. the Extra-Terrestrial,6/11/1982,10500000,7.8,115
Used Cars,7/11/1980,8000000,6.8,103
I Wanna Hold Your Hand,5/22/1979,2700000,6.9,104
